2024-06-30T23:00:38.759988200: 1,00 USD -> 5,52 BRL
2024-06-30T23:00:44.209763200: 1,00 BRL -> 0,18 USD
2024-06-30T23:00:46.538403600: 1,00 JPY -> 0,03 BRL
2024-06-30T23:00:48.498393: 1,00 BRL -> 29,17 JPY
2024-06-30T23:00:51.022757500: 1,00 EUR -> 1,47 CAD
2024-06-30T23:01:00.418356900: 1,00 CAD -> 0,68 EUR
2024-06-30T23:01:04.437400600: 1,00 SGD -> 0,69 EUR
2024-06-30T23:01:09.138067600: 1,00 EUR -> 1,45 SGD
2024-06-30T23:02:12.768767800: 1,00 EUR -> 1,45 SGD
2024-06-30T23:02:18.807565500: 2,00 BRL -> 58,34 JPY
2024-06-30T23:02:24.600098500: 5,00 CAD -> 3,41 EUR
2024-06-30T23:02:36.440105100: -9,00 CAD -> -6,14 EUR
2024-06-30T23:02:49.958189: 6,00 JPY -> 0,21 BRL
2024-06-30T23:02:59.038129900: 8,00 BRL -> 233,38 JPY
2024-06-30T23:03:08.528414700: 7,00 CAD -> 4,77 EUR
2024-06-30T23:03:22.910378300: 3,00 EUR -> 4,36 SGD
